The Big Dungeon,Wyatt the Weakling
Attempted,AverageTime,Cleared,AverageClearingTime,Died,AverageDeathTime
1000,323,0,0,1000,323
The Big Dungeon,Ava the Average
Attempted,AverageTime,Cleared,AverageClearingTime,Died,AverageDeathTime
1000,22,567,21,462,24
The Big Dungeon,Miley the Mighty
Attempted,AverageTime,Cleared,AverageClearingTime,Died,AverageDeathTime
1000,11,1000,11,0,0
